ZONA,Acc_com_A,T_sup_const,P_Avaluo_SII,P_ing_zonal,P_ing_zonal_MM,P_Edad_zonal,Densidad_hab,Densidad_par,Personas_por_zona,Hogares_por_ Zona,Paraderos_por_zona,Area_por_Zona
70,0.169,318586,4.533081,0.485455,4.85455E-07,34,0.399117585,0.016983727,181,47,1.999999996,117.7597824
71,0.247,197354,4.186083,0.2785,2.785E-07,56,1.369495022,0.031124887,160,44,1.000000004,32.12863083
72,0.191,159695,5.519299,0.621765,6.21765E-07,39,0.26439238,0.052878476,21,10,1.999999999,37.82257262
73,0.27,98772,9.044543,0.541111,5.41111E-07,36,0.321508901,0,55,17,0,52.87567449
74,0.094,91479,12.844691,0.598333,5.98333E-07,31,0.0498805,0.013855694,68,18,4.999999832,360.8624607
75,0.052,1147277,8.926437,0.6525,6.525E-07,26,0.261887754,0.05356795,492,132,27.00000017,504.0327318
76,0.173,0,0,0,0,0,0,0,0,0,0,50.4302952
77,0.203,1376807,85.152169,0.489167,4.89167E-07,48,0.048576853,0.004048071,47,12,0.999999985,247.0312366
78,0.15,815936,6.679551,0.348662,3.48662E-07,31,0.003917074,0.034600822,14,6,53.00000034,1531.755527
79,0.063,672528,11.377892,0.315625,3.15625E-07,28,0.17720537,0.004991701,255,71,2.000000174,400.6650587
80,0.087,222610,7.933874,0.383883,3.83883E-07,31,0.050714168,0.006339271,66,16,1.999999982,315.4936872
81,0.055,399617,7.652234,0.35125,3.5125E-07,27,0.387474097,0.00824413,313,94,2.00000007,242.5968622
82,0.073,295131,4.701405,0.391053,3.91053E-07,29,0.050493531,0.004207794,81,24,1.999999882,475.3084115
83,0.19,30231,13.993564,0.972083,9.72083E-07,23,0.53337959,0,50,19,0,35.62191046
84,0.167,619644,32.641378,0.921154,9.21154E-07,53,0.039162056,0.006527009,48,12,1.999999916,306.4190528
85,0.232,121227,57.263318,0.253333,2.53333E-07,45,0.678239808,0,32,13,0,19.16726185
86,0.144,64557,144.147606,0.46,0.00000046,46,0.014590094,0.002431682,21,6,0.999999859,411.2379246
87,0.197,220927,-0.000099,0.528334,5.28334E-07,35,0,0,0,0,0,553.7697726
88,0.121,1171121,14.499128,0.4025,4.025E-07,22,0.009686235,0,19,6,0,619.435752
89,0.152,0,0,0,0,0,0.073618316,0,28,6,0,81.50145671
90,0.358,0,0,0,0,0,0.684317125,0.855396406,21,8,10,11.69048634
