ZONA,Acc_com_A,T_sup_const,P_Avaluo_SII,P_Ing_zonal,P_Edad_zonal,Densidad_hab,Densidad_par
43,0.299,323021,10.639496,0.425526,46,0.219500449,0.011552655
44,0.254,159054,4.321111,0.393281,45,1.082482696,0.169137921
45,0.26,533299,13.588068,0.710636,45,0.303815444,0.027619586
46,0.22,548349,4.410689,0.37375,38,1.191443366,0.055848908
47,0.198,2525005,141.558577,2.000001,32,0.01001685,0
48,0.124,556795,6.031439,0.389554,36,1.218120317,0.229151347
49,0.049,297908,7.259031,0.623,35,0.017704898,0.026557346
50,0.161,409849,39.833925,1.368612,27,0.074416254,0
51,0.121,960072,100.847917,1.954168,38,0.007086052,0.004724035
52,0.173,685783,4.69197,0.497868,33,0.541993273,0.039852447
53,0.243,162525,234.046946,0.165833,35,0.026527909,0
54,0.267,1765603,41.332989,1.125,43,0,0
55,0.455,139559,37.804093,1.020625,43,0.50685257,0.368620051
56,0.227,163968,38.032857,1.113236,38,0.844430361,0.351845984
57,0.2,278629,42.979043,1.787501,32,0.294263301,0
58,0.169,282978,20.722012,0.971167,41,0.148965602,0.0248276
59,0.303,79572,31.143827,1.035167,44,0.20571045,0.171425375
60,0.268,76110,34.729604,1.3175,45,0.978304497,0.163050749
61,0.329,190300,10.724172,0.377547,36,0.770537929,0.256845976
62,0.365,303362,10.113186,0.307097,46,0.85536938,0
63,0.323,178455,9.28055,0.5996,37,0.583586048,0.169428207
64,0.227,1799267,12.764987,0.491129,51,0.74651622,0.077637687
65,0.306,310301,7.307613,0.36598,36,0.703756661,0.20431645
66,0.205,289672,9.185224,0.429545,45,0.524687554,0
67,0.184,595215,5.200759,0.391667,48,0.095536083,0.208442364
68,0.278,194670,5.651898,0.397778,30,0.613213826,0.034067435
69,0.229,456765,5.486851,0.596489,25,0.134272647,0
70,0.169,318586,4.533081,0.485455,34,0.399117585,0.016983727
71,0.247,197354,4.186083,0.2785,56,1.369495022,0.031124887
72,0.191,159695,5.519299,0.621765,39,0.26439238,0.052878476
73,0.27,98772,9.044543,0.541111,36,0.321508901,0
74,0.094,91479,12.844691,0.598333,31,0.0498805,0.013855694
75,0.052,1147277,8.926437,0.6525,26,0.261887754,0.05356795
76,0.173,0,26.04,0.63,39,0,0
77,0.203,1376807,85.152169,0.489167,48,0.048576853,0.004048071
78,0.15,815936,6.679551,0.348662,31,0.003917074,0.034600822
79,0.063,672528,11.377892,0.315625,28,0.17720537,0.004991701
80,0.087,222610,7.933874,0.383883,31,0.050714168,0.006339271
81,0.055,399617,7.652234,0.35125,27,0.387474097,0.00824413
82,0.073,295131,4.701405,0.391053,29,0.050493531,0.004207794
83,0.19,30231,13.993564,0.972083,23,0.53337959,0
84,0.167,619644,32.641378,0.921154,53,0.039162056,0.006527009
85,0.232,121227,57.263318,0.253333,45,0.678239808,0
86,0.144,64557,144.147606,0.46,46,0.014590094,0.002431682
87,0.197,220927,-0.000099,0.528334,35,0,0
88,0.121,1171121,14.499128,0.4025,22,0.009686235,0
89,0.152,0,26.04,0.63,39,0.073618316,0
90,0.358,0,26.04,0.63,39,0.684317125,0.855396406



































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































