ZONA,ACC_com_A,T_sup_const,P_Avaluo_SII,P_Ing_zonal,P_Edad_zonal,Densidad_hab,Densidad_par
81,0.118024018,733780.2855,19.18220651,0.506766843,37.20214309,0.082384601,0.00824413
82,0.144838841,475867.9112,22.75231854,0.584056207,42.03845806,0.021215634,0.004207794
83,0.337512945,283446.9373,26.75102392,0.728627385,35.5836469,0.711533805,0
84,0.231875842,670522.4031,28.57131383,0.933744506,43.88601876,0.01986404,0.006527009
85,0.387434933,298373.4443,28.43246179,0.50128125,37.35775855,0.962153811,0
86,0.257123697,140598.4661,37.71094144,0.521783791,32.57658807,0.01502188,0.002431682
87,0.284574503,304733.5734,27.12595232,0.704177226,43.85473499,0.014928655,0
88,0.156612286,1345679.876,26.79239086,0.66921302,43.16728682,0.017892544,0
89,0.26940233,346026.577,26.99530025,0.482404753,38.30440359,0.344430539,0
90,0.498859455,142818.3652,20.75770097,0.490339649,43.38163865,2.657676215,0.855396406
